order,code,name,tar_value,net_value,jzrq,zhongdian,url,pingji,guimo,chenglirq



a1,002803,东方红沪港深混合(止盈20%)-小树 005190后端代码,0,,,重点止盈 20% 强制执行,,0 星,2 亿,2016
a2,540006,汇丰晋信大盘A(止盈 20%),3.25,,,(蛋卷不能买)近 3 年收益53%(最高 74 亿)-值得定期-(四分位排名靠前),,3年5星，5年5星,35亿,2009
a3,000311,景顺长城沪深300指数增强(止盈30%),0,,,重点止盈 20% 强制执行, ,0 星,2 亿,2016
a4,110011,易方达中小盘混合(止盈30%),0,,,重点止盈 30% 强制执行, ,0 星,2 亿,2016
a5,001878,嘉实沪港深精选股票(止盈点是40%),0,,,重点止盈 30% 强制执行, ,0 星,2 亿,2016


b1,110003,易方达上证50指数A(大宝k)-(上证50指数对应的优质基金),1.4,,,重点-- 近3年定投收益28%-资金管理最大200亿,,3年5星-5年5星,134亿,2004
b2,100032,富国中证红利指数增强(养老)-(红利类指数),1.1,,,重点--近3年定投收益 24%,,3年4星-5年5星,39亿,2008
b3,110031,易易方达恒生国企ETF联接A-(别墅100-QDII1100319)(QDII类型境外指数),1.20,,,重点--近3年定投收益 27%(终止定投为 100),,3年4星-5年3星,15亿,2012
b4,163402,兴全趋势投资混合(LOF),0.7,,, (媳妇蛋卷定投)近3年定投收益67%(最高管理基金265亿)晨星获奖-值得定期-(四分位排名靠前),,3年4星-5年5星-10年5星,170亿,2005
b5,540006,汇丰晋信大盘A(别墅2000),3.25,,,(蛋卷不能买)近 3 年收益53%(最高 74 亿)-值得定期-(四分位排名靠前),,3年5星，5年5星,35亿,2009


st1,163406,兴全合润分级混合,1.0,,,近3年定投收益-13%(近5年收益率200%)(最高管理基金59亿)(天天累计 3 年涨幅很大-现在净值低于1可以测试)-(四分位排名靠前_近一年上升同行下降),,3年4星-5年5星,51亿,2010

st2,160119,南方中证500增强(观察-中证500指数),1.20,,,按照树方法这个规模大-不符合星星控,,3年2星-5年2星,97亿,2009
1,519712,交银阿尔法核心混合,1.9,,,近3年的定投收益率40%近5年36%(最高管理基金39亿)-(四分位排名靠前),,3年5星-5年5星,39亿,2012
2,519068,汇添富成长焦点,1.85,,,近3年的定投收益率23%近5年41%(最高管理基金321亿)-(四分位排名靠前),,3年5星-5年5星-10年5星,61亿,2007
3,519688,交银精选股票,0.63,,,近3年的定投收益率29%近5年58%(最高管理基金194亿)-(四分位排名靠前),,3年5星-5年4星-10年4星,43亿,2005
4,166005,中欧价值发现混合A,1.5,,,观察测试1收益超过 1000 则卖出- 近3年定投收益15%(最高管理基金106亿),,3年5星-5年5星,77亿,2009



1,200008,长城品牌优选股票,1.2,,,近3年的定投收益率12%近5年24%(最高管理基金250亿),,3年4星-5年4星-10年3星,36亿,2007
2,270002,广发稳健增长混合,1.2,,, 近3年定投收益10%(最高管理基金133亿)晨星获奖,,3年4星-5年5星-10年4星,55亿,2005
4,000577,安信价值精选股票,2.3,,,近3年的定投收益率7%近5年37%(最高管理基金59亿)-(四分位排名靠前),,3年5星-5年5星,43亿,2014
5,217022,招商产业债券A,1.37,,, 近3年定投收益10%(最高管理基金36亿)晨星获奖-(四分位排名靠前),,3年5星，5年5星,23亿,2012
6,519704,交银先进制造混合,1.8,,,观察测试1- 近3年定投收益23%-(四分位排名靠前),,3年4星-5年5星,20亿,2011
7,000172,华泰柏瑞量化增强,1.15,,,近3年的定投收益率24%近5年30%(最高管理基金55亿)-(四分位排名靠前),,3年4星-5年5星,50亿,2013

-3,166002,(目标止盈定投)中欧新蓝筹混合A,1.2,,, 近3年定投收益39%(最高管理基金55亿)-(四分位排名靠前_近一年上升同行下降),,3年5星-5年5星-10年5星,55亿,2008

a,180012,银华富裕主题混合(老齐备1),3.0,,, 近3年定投收益36%(最高管理基金165亿)--低于 2.6 就买,,3年5星-5年5星-10年5星曾多次晨星基金的榜单上,69亿,2007

a1,002692,富国创新科技混合(科技基金)-(老齐不建议买),1.5,,,观察测试-近三年 62%-最大29亿,,三年评级5星,29 亿,2016

T1,163110,申万菱信量化小盘股票(LOF)-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,001103,前海开源工业革命4.0混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,000854,鹏华养老产业股票-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,206007,鹏华消费优选混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,570005,诺德成长优势混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,213006,宝盈核心优势混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,003044,东方红沪港深混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,070032,嘉实优化红利混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,001811,中欧明睿新常态混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,202023,南方优选成长混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,450009,国富中小盘股票-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,000136,民生加银策略精选混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,460005,华泰柏瑞价值增长混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,000577,安信价值精选股票-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,040035,华安逆向策略混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,450002,国富弹性市值混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,000619,东方红产业升级混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,000595,嘉实泰和混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,519697,交银优势行业混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,
T1,519066,汇添富蓝筹稳健混合-短期计划20只定投,1.0,,,短期计划20只定投 ,,,,










